26.07.2017
ID;Код дефекта;Дефект;Описание
1;090004000234;14.1;Пробоксовки в виде местного износа и выкрашивания металла в местах термомеханических повреждений головки рельса. В стыке.
2;090004000235;17.3;Выкрашивания металла на поверхности катания головки в зоне сварного стыка, до пропуска гарантийного тоннажа.
3;090004000236;17.4;Выкрашивания металла на поверхности катания головки в зоне сварного стыка, до пропуска гарантийного тоннажа.
4;090004000237;18.1;Выкрашивание наплавленного слоя металла в местах наплавки. В стыке.
5;090004000238;40.0;Волнообразный износ и смятие головки рельса. По всей длине рельса.
6;090004000239;41.0;Смятие и вертикальный износ головки рельса. По всей длине рельса.
7;090004000240;41.2;Смятие и вертикальный износ головки рельса. Вне стыка.
8;090004000241;44.0;Боковой износ головки рельса сверх допускаемых норм. По всей длине рельса.
9;090004000246;20.1;Поперечные трещины в головке в виде светлого или темного пятна. В стыке.
10;090004000247;20.2;Поперечные трещины в головке в виде светлого или темного пятна. Вне стыка
11;090004000248;21.1;Поперечные усталостные трещины в головке в виде светлого или темного пятна. В стыке.
12;090004000249;21.2;Поперечные усталостные трещины в головке в виде светлого или темного пятна. Вне стыка.
13;090004000250;24.1;Поперечные трещины в головке. В стыке.
14;090004000251;25.1;Поперечные трещины в головке. В стыке.
15;090004000252;26.3;Поперечные трещины в головке, после пропуска гарантийного тоннажа. В сварном стыке.
16;090004000253;27.3;Поперечные трещины в головке, до пропуска гарантийного тоннажа. В сварном стыке.
17;090004000254;27.4;Поперечные трещины в головке, до пропуска гарантийного тоннажа. В сварном стыке.
18;090004000255;31.1;Вертикальные продольные трещины в головке. В стыке.
19;090004000256;31.2;Вертикальные продольные трещины в головке. Вне стыка.
20;090004000257;30.1;Горизонтальные продольные трещины в головке. В стыке.
21;090004000258;30.2;Горизонтальные продольные трещины в головке. Вне стыка.
22;090004000259;38.1;Трещины в головке в месте приварки рельсового соединителя. В стыке.
23;090004000260;43.1;Смятие головки в виде седловины в зоне болтового стыка. В стыке.
24;090004000262;50.1;Вертикальные расслоения шейки. В стыке.
25;090004000263;50.2;Вертикальные расслоения шейки. Вне стыка
26;090004000264;33.1;Продольные трещины в местах перехода головки в шейку в зоне болтового стыка. В стыке.
27;090004000265;55.2;Трещины в шейке и в местах перехода к головке. Вне стыка.
28;090004000266;53.1;Трещины в шейке от болтовых отверстий в рельсе. В болтовом стыке.
29;090004000268;55.1;Трещины в шейке и в местах перехода к головке. В стыке.
30;090004000269;56.3;Трещины в шейке в зоне сварного стыка, после пропуска гарантийного тоннажа. В стыке.
31;090004000270;60.1;Трещины и выколы в подошве. В стыке.
32;090004000271;60.2;Трещины и выколы в подошве. Вне стыка.
33;090004000274;65.1;Трещины и выколы в подошве. В стыке.
34;090004000275;66.3;Трещины в подошве в зоне сварного стыка, после пропуска гарантийного тоннажа.
35;090004000276;69.1;Поперечные коррозионно-усталостные трещины в подошве рельса. В стыке.
36;090004000277;70.1/20.1;Поперечные изломы из-за трещин, образовавшихся вследствие пороков изготовления рельсов. В стыке.
37;090004000278;70.2/20.2;Поперечные изломы из-за трещин, образовавшихся вследствие пороков изготовления рельсов. Вне стыка.
38;090004000279;74.1/24.1;Поперечные изломы из-за образования поперечной трещины в головке вследствие боксования и юза. Поперечные изломы из-за усталостной трещины, образовавшейся от местной выработки подошвы рельса в месте контакта с элементами скреплений или местной коррозии. В стыке.
39;090004000280;79.1/69.1;Поперечные изломы из-за коррозионно-усталостных трещин в подошве рельса. В стыке.
40;090004000588;ДО.11.2;Выкрашивание гребнеобраз-ного наплыва в сторону рамного рельса в зоне боковой строжки остряка из-за недостаточной контактно-усталостной прочности металла
41;090004000589;ДО.14.2;Выкрашивание остряков от острия до первой стрелочной тяги из-за усиленного бокового воз-действия колес.Выкрашивание острия подвижного сердечника
42;090004000591;ДО.41.2;Седловины в зоне выпрессовки из-за изменения структуры металла при ее выполнении
43;090004000592;ДО.42.2;Седловины на поверхности катания остряка от первой тяги до сечения 50мм вследствие завышения его над рамным рельсом
44;090004000593;ДО.60.2;Трещины в подошве и изломы из-за них в зоне выпрессовки
45;090004000594;ДО.61.2;Местный износ подошвы остряка, сердечника в зоне опирания на подушки подкладок из-за недостаточной прочности металла
46;090004000595;ДО.65.2;Трещины и изломы остряков, сердечников, развивающиеся с подошвы в местах острых кромок и надрывов металла от боковой строжки подошвы, или дефектов остряковых спецпрофилей
47;090004000616;ДС.10.1;Откол металла головки в хвостовом торце сердечника из-за дефектов литья (раковины, поры и т. п.)
48;090004000619;ДС.14.2;Отслоение и выкрашивание на поверхности катания литой части усовика и сердечника в зоне перекатывания из-за повышенного динамического воздействия колес
49;090004000622;ДС.18.2;Выкрашивание наплавленного слоя на поверхности катания  литой  части усовика  и  сердечника
50;090004000624;ДС.20.2;Поперечные трещины литой части усовика и сердечника  из-за  дефектов отливки
51;090004000626;ДС.29.1;Поперечные  трещины и изломы хвостовиков сердечников и цельнолитых крестовин
52;090004000627;ДС.30Г.2;Горизонтальное расслоение литой части  усовика и сердечника из-за наличия оксидных плен и неспаев в металле
53;090004000629;ДС.50.1;Трещины в шейке хвостовой части  сердечника из-за наличия литейных дефектов
54;090004000630;ДС.60.1;Трещины в подошве из-за наличия дефектов в литье, а также заусенцев и ступенек после фрезерования верха подошвы хвостовой части сердечника
55;090004000633;ДС.63.1;Выколы в подошве хвостовой части сердечника
56;090004000635;ДО.80;Неприлегание остряков к рамному рельсу, а также остряков или подвижных сердечников к подушкам подкладок из-за саморазгиба, вертикального выгиба и пропеллерности
57;090004000640;ДУ.12.2;Выкрашивание рельсовой или литой части усовика по линии врезки из-за недостатков конструкции
